,event number,mission number,trajectory number,jump amplitude [m],jump time [s],jump depth [m],normalized jump amplitude [-],normalized jump time [-],normalized cross shore jump location [-],breaking iribarren_number [-],Offshore Hs [m],Offshore Tm [s],linear phase speed at jump depth [m/s],bulk jump speed [m/s],mean jump speed [m/s],median jump speed [m/s],max jump speed [m/s],nrmse
995,995,23,24,84.8709608,28.499886,3.406734695,1.408270144,3.792318249,0.784219174,0.114922357,2.4139028,7.515162,5.778061959,2.977940361,2.981342631,3.252340619,7.13648343,0.720198132
884,884,23,7,76.5897336,27.166558,2.492314208,1.270859127,3.614899852,0.575412222,0.114922357,2.4139028,7.515162,4.942133065,2.819265275,2.821089872,2.916350664,6.045045834,0.490257228
885,885,23,7,76.5897336,27.166558,2.492314208,1.270859127,3.614899852,0.500951314,0.114922357,2.4139028,7.515162,4.942133065,2.819265275,2.821089872,2.916350664,6.045045834,0.48060114
3582,3582,24,15,71.53721162,37.833182,3.375128969,1.304442926,5.434564008,0.834954654,0.115793557,2.163684,6.9615855,5.751196736,1.890858972,1.892939563,1.888246447,4.22204653,0.597008746
3583,3583,24,15,71.48664919,35.666524,3.380604826,1.303520947,5.123333471,0.757197804,0.115793557,2.163684,6.9615855,5.755860257,2.004306593,2.001007925,1.955253954,4.22204653,0.657100521
2910,2910,21,32,70.56504194,19.499922,2.497655152,1.185228009,2.620054677,0.560021662,0.111073199,2.5528471,7.442563,4.947425643,3.618734574,3.647468599,3.263548176,8.139815913,0.524882937
672,672,81,9,70.11256572,26.999892,3.094219888,1.030315325,3.239727862,0.629901264,0.130197266,2.123624,8.334,5.506664589,2.59677208,2.585168175,2.469257441,6.783579738,0.628988353
3030,3030,20,6,70.09683813,16.333268,3.785959829,1.161833785,2.171304572,0.612068997,0.109169979,2.6779573,7.5223293,6.091174462,4.291660318,4.282135556,4.965634711,7.285453878,0.347287252
1375,1375,43,1,69.46898645,4.499982,1.89954614,1.566813372,0.761308136,0.857993426,0.145954782,1.1010137,5.910855,4.31457439,15.43761429,16.00230002,23.21546291,27.50048299,0.413091642
671,671,81,9,69.27072701,28.166554,3.090225916,1.017944371,3.379716103,0.685650437,0.130197266,2.123624,8.334,5.503109483,2.459325589,2.458583437,2.426290769,6.783579738,0.583308965
2217,2217,22,27,69.26994773,30.916543,3.086172746,1.146389108,4.104611726,0.682229857,0.112469191,2.5269773,7.532148,5.499499333,2.240546355,2.192897526,2.368350783,4.63279553,0.649714144
670,670,81,9,68.3955522,29.499882,3.08575424,1.005083538,3.539702664,0.756865028,0.130197266,2.123624,8.334,5.499126435,2.318502569,2.324110933,2.367947519,6.783579738,0.537283529
422,422,28,9,68.35316096,41.999832,1.720863401,1.036808726,5.1783747,0.761372512,0.159366763,1.3731568,8.1106205,4.106636255,1.627462723,1.625342312,1.934884921,3.305340423,0.405595933
3143,3143,20,29,68.09411964,16.499934,3.558826148,1.128639335,2.193460741,0.549408288,0.109169979,2.6779573,7.5223293,5.905632587,4.12693285,4.069940135,3.778032091,8.481280525,0.37081791
3028,3028,20,5,67.77627294,27.333224,3.19235575,1.123371122,3.633611732,0.522536822,0.109169979,2.6779573,7.5223293,5.593307282,2.47962966,2.478075873,2.662903599,6.505505044,0.661317707
1673,1673,77,14,67.33608915,14.16661,2.300157564,1.00116715,1.717042054,0.495167617,0.12979822,2.1118326,8.25059,4.747793606,4.753154718,4.585214462,5.228833129,7.339930603,0.646385066
2454,2454,74,18,64.66937755,11.66662,1.810675528,0.905312189,1.342326342,0.434053196,0.132932216,2.1384323,8.691344,4.212436371,5.543111677,5.168536132,7.035255259,7.035255819,0.778171153
1465,1465,26,3,64.61348725,18.666592,2.773556623,1.117083189,2.568909719,0.75592825,0.124572287,1.9717437,7.266348,5.213526149,3.461450663,3.454432315,3.567189683,8.076014835,0.506721462
1854,1854,80,3,64.52839685,13.499946,3.176445543,0.94817222,1.619742266,0.55480123,0.129385016,2.150559,8.334626,5.579351783,4.779900368,4.78354619,5.171164693,8.897784277,0.400942306
1853,1853,80,3,64.3666347,13.33328,3.175243709,0.945795307,1.599745447,0.664030546,0.129385016,2.150559,8.334626,5.578296187,4.827516913,4.83133554,5.213965682,8.897784277,0.414355904
2700,2700,21,2,61.97767105,18.833258,2.818705085,1.04099239,2.530480159,0.552525638,0.111073199,2.5528471,7.442563,5.255788222,3.290862954,3.296746139,4.053289439,6.259175283,0.408523272
3170,3170,20,34,58.55362514,32.999868,4.40619596,0.970508538,4.386921482,0.46079963,0.109169979,2.6779573,7.5223293,6.571203878,1.774359374,1.771565588,1.669403156,3.918521544,0.540874905
2581,2581,25,15,58.1677043,13.33328,2.720577018,1.028169469,1.867656753,0.639413212,0.117715552,2.1597586,7.139042,5.163492498,4.362595273,4.317700879,4.957268282,7.455410352,0.457326537
700,700,81,14,57.17983777,18.999924,3.296258382,0.840266827,2.279808495,0.752839738,0.130197266,2.123624,8.334,5.683602039,3.009477184,3.007228287,3.252312563,6.439943634,0.60012807
2231,2231,22,29,57.07810696,30.166546,2.04544522,0.944619164,4.005038934,0.500102261,0.112469191,2.5269773,7.532148,4.477204838,1.892099512,1.882431125,1.976959505,4.677707564,0.512748512
1684,1684,77,16,56.63402316,7.49997,2.820618683,0.842046579,0.909022264,0.562165473,0.12979822,2.1118326,8.25059,5.257571977,7.551233293,7.332842946,7.078437742,12.59343831,0.54498422
1817,1817,36,3,56.5774002,16.166602,1.983025704,0.840193183,1.957425937,1.341092685,0.207574516,0.82674474,8.259113,4.408361589,3.499647001,3.464450097,4.646680674,5.754423322,0.287746691
2819,2819,21,19,56.25578077,9.99996,2.543217728,0.944886097,1.343617783,0.547814586,0.111073199,2.5528471,7.442563,4.992347518,5.625600579,5.616192184,4.128031657,11.17566408,0.387778574
2232,2232,22,29,56.18568557,27.49989,2.051913084,0.929849957,3.651002344,0.455359826,0.112469191,2.5269773,7.532148,4.484277894,2.043124011,2.035812853,2.143098428,4.677707564,0.586165792
1474,1474,26,5,55.60440268,26.833226,2.324389051,0.96132783,3.692807721,0.741330398,0.124572287,1.9717437,7.266348,4.772736395,2.072222053,2.052373249,1.8872313,4.450403713,0.452588757
3099,3099,20,17,55.48990301,12.666616,1.588798881,0.919728275,1.683868852,0.372566408,0.109169979,2.6779573,7.5223293,3.945912953,4.38079934,4.218838444,4.785730179,6.613704353,0.488844602
2001,2001,73,21,55.2271285,31.66654,1.861160675,0.693203434,3.312858738,0.679768404,0.165174783,1.5447562,9.558675,4.270758084,1.74402156,1.736338863,1.845855316,5.439793876,0.715876913
2228,2228,22,28,54.97168905,15.499938,1.634382239,0.909758815,2.057837685,0.423973818,0.112469191,2.5269773,7.532148,4.002117682,3.54657477,3.506271884,3.281104041,6.111654041,0.70810566
3512,3512,24,6,54.72718266,6.999972,2.918048746,0.997921007,1.005514046,0.639232596,0.115793557,2.163684,6.9615855,5.347604857,7.818200225,7.724556543,7.036103697,12.58273912,0.429154141
