,Unnamed: 0,mission number,trajectory number,wind only correct final x,wind only delta y,wind only delta y norm,wind only delta x,wind only total distance,wind only delta t,wind only delta t norm,wind and waves correct final x,wind and waves delta y,wind and waves delta y norm,wind and waves delta x,wind and waves total distance,wind and waves delta t,wind and waves delta t norm,wind and waves and surf correct final x,wind and waves and surf delta y,wind and waves and surf delta y norm,wind and waves and surf delta x,wind and waves and surf total distance,wind and waves and surf delta t,wind and waves and surf delta t norm,Mean Wave Dir FRF [deg] (8marray),Mean Wind Dir FRF [deg]
0,0,78,0,True,71.10708222714209,0.1560856815299708,0.012008390285473,71.10708324111589,613.9184523333332,1.375219506478175,True,64.68801765256035,0.1419953260052149,0.000678671773727,64.68801765612048,376.5017856666666,0.8433898637591934,True,261.88169610111197,0.5748510800315769,0.1494031456397806,261.88173871825256,-358.2482143333334,0.8025006100397746,-9.029162597656253,137.11944580078125
1,1,78,1,True,11.172359336255568,0.0245242142790601,0.0046275514301328,11.172360294613185,683.1678059999999,2.3984922364499286,True,16.88935939147882,0.0370734825372617,0.0032185152908539,16.889359698146478,470.5011393333333,1.6518537905632016,True,163.7373151625469,0.3594163848179733,0.0131881173679744,163.73731569366117,-206.082194,0.7235214218797191,-9.029162597656253,137.11944580078125
2,2,78,2,True,126.06763242273314,0.2767284454552006,0.0130558651723617,126.06763309878144,563.1688386666665,1.0371474978840365,True,119.27839134206285,0.2618255231589008,0.0107248722510462,119.27839182422429,313.252172,0.5768939687176796,True,325.44058913207004,0.7143678879964639,0.0096505917678939,325.440589275159,-453.6644946666667,0.8354812326554402,-9.029162597656253,137.11944580078125
3,3,78,3,True,25.359579742183655,0.0556662875679278,0.0125585282232805,25.359582851790027,782.5847953333332,2.141143435526774,True,32.47454089985058,0.0712841912502393,0.0090472481101357,32.47454216011007,521.1681286666667,1.4259102964364434,True,181.90894851286168,0.39930456032961,0.0433635796298119,181.9089536813815,-277.3318713333333,0.7587769648844213,-9.029162597656253,137.11944580078125
4,4,78,4,True,108.733567911617,0.2386787999324189,0.0005847197714956,108.73356791318918,551.6687283333332,1.070339728408226,True,102.23179760988296,0.2244068987811984,0.0184421253257482,102.23179927331836,312.58539499999995,0.6064736853935287,True,300.8021502340998,0.6602845617401618,0.053691541197395,300.80215502592324,-427.4979383333334,0.8294253484208763,-9.029162597656253,137.11944580078125
5,5,78,5,True,246.74310223065984,0.5416206665809598,0.0158839434291735,246.7431027419196,130.4191066666666,0.2138026694183278,True,241.48812064184904,0.5300855654767284,0.0104234399697134,241.4881208668044,-51.33089333333339,0.0841493420618492,True,381.0452178971268,0.8364244554321902,0.032158510423585,381.045219254144,-562.49756,0.922130836064328,-9.029162597656253,137.11944580078125
6,6,78,6,True,231.74607495863972,0.5087010030346568,0.0022252584424791,231.74607496932336,86.00243999999998,0.140988170510059,True,226.61015850919185,0.4974272593485874,0.0049118192325749,226.61015856242415,-90.0808933333334,0.1476741863251607,True,357.2114537092082,0.7841074539440333,0.0174676454666951,357.2114541362922,-566.0808933333334,0.9280051765015804,-9.029162597656253,137.11944580078125
7,7,78,7,True,51.08483322243694,0.1121352579747026,0.0058571074791871,51.084833558208885,659.9186179999999,1.352759667273722,True,43.970690724483234,0.0965191513153496,0.0034549094093847,43.970690860214546,398.5852846666666,0.8170554404117171,True,258.28417352574456,0.5669542328342475,0.1387008282386546,258.2842107675122,-399.66471533333333,0.8192681530548466,-9.029162597656253,137.11944580078125
8,8,78,8,True,153.90411850867315,0.3378317387705468,0.0136179101795335,153.90411911115046,513.3355016666665,0.9469716618297676,True,147.50729049516815,0.3237901942598535,0.0148555895127628,147.5072912432279,277.2521683333332,0.5114587745053514,True,343.76841270816317,0.754598913433528,0.0531436487575263,343.76841681593936,-454.24783166666674,0.8379701435792677,-9.029162597656253,137.11944580078125
9,9,78,9,True,52.86909007781003,0.116051843194805,0.0001767803037466,52.86909007810558,594.5019596666665,1.2134805327790792,True,46.23856069782471,0.101497305661208,0.0116652733172202,46.23856216930866,350.66862633333324,0.7157748508524224,True,248.23864501034015,0.5449035015210572,0.2232122470620083,248.23874536477365,-403.4980403333334,0.8236087518257201,-9.029162597656253,137.11944580078125
10,10,78,10,True,40.915919258094846,0.0898136858214,0.0090981336015829,40.91592026963309,773.5011413333332,2.7108793294986255,True,47.32581225186311,0.1038839089993186,8.757747980325803e-05,47.32581225194414,536.5011413333332,1.8802685304199152,True,149.56352276856614,0.328303787079652,0.1775542227056803,149.56362816020948,-196.9988586666667,0.6904193224249533,-9.029162597656253,137.11944580078125
11,11,78,11,True,98.79691420950132,0.2168670574639589,0.0154897924692818,98.79691542377846,543.8352113333333,1.1583330919763153,True,92.73946469256292,0.203570475652818,0.0099072835085962,92.73946522175656,319.1685446666666,0.6798079261894611,True,280.78584395089786,0.616347182929621,0.1092630149600495,280.785865209815,-383.1647886666667,0.8161157003875442,-9.029162597656253,137.11944580078125
12,12,78,12,True,91.5857597341651,0.2010380018249536,0.0054203364169325,91.58575989456146,540.5853433333332,1.0757960312106585,True,85.29180344867234,0.1872222689109966,0.004221703703962,85.29180355315356,307.9186766666666,0.6127759370075622,True,279.1747604007775,0.6128107268404934,0.0348431423564363,279.1747625751226,-415.74799,0.8273624935295761,-9.029162597656253,137.11944580078125
13,13,78,13,True,137.7393279965861,0.3023487423538377,0.0056450008299293,137.73932811226126,465.33538466666664,0.9073849451068912,True,131.94693998428454,0.2896339915545001,0.0032157775944483,131.9469400234716,250.00205133333327,0.4874937627797309,True,314.2118785612131,0.6897199782909803,0.0094065347392984,314.2118787020144,-432.581282,0.8435157861528424,-9.029162597656253,137.11944580078125
14,14,78,14,True,46.91821873482422,0.102989208923017,0.0041459604597662,46.918218918004534,739.501137,2.6015975198465435,True,53.06388946510833,0.1164794432899818,0.0030175242714562,53.0638895509054,512.001137,1.8012425154362004,True,137.66881296071904,0.3021939562609945,0.0095142136477761,137.66881328948,-201.99886300000003,0.710640883020876,-9.029162597656253,137.11944580078125
15,15,78,15,True,5.7101906027209,0.0125343209702326,0.0134191571289647,5.710206370454586,696.5014616666665,1.9060549537523117,True,12.151462653899555,0.0266734236663127,0.0131394289897741,12.151469757758106,458.7514616666666,1.2554252132629966,True,185.44140247880193,0.4070585767718228,0.1512685377215348,185.4414641752904,-279.8318716666667,0.7657915375105059,-9.029162597656253,137.11944580078125
